Term,Session,Acad Group,Class Nbr,Subject,Catalog Nbr,Section,Course Title,Component,Codes,M,T,W,TH,F,S,SU,Start Date,End Date,Time,Location,Instructor,Units
Winter 2020,Regular Academic Session,Engineering,16953,Electrical Engineering And Computer Science (EECS),203,1,Discrete Math,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,9-1030AM,220 CHRYS,Saleem,4
Winter 2020,Regular Academic Session,Engineering,28907,Electrical Engineering And Computer Science (EECS),203,2,Discrete Math,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,1130-1PM,G390 DENT,Huang,4
Winter 2020,Regular Academic Session,Engineering,16954,Electrical Engineering And Computer Science (EECS),203,3,Discrete Math,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,12-130PM,220 CHRYS,Graetz,4
Winter 2020,Regular Academic Session,Engineering,21231,Electrical Engineering And Computer Science (EECS),203,4,Discrete Math,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,130-3PM,1013 DOW,Graetz,4
Winter 2020,Regular Academic Session,Engineering,25021,Electrical Engineering And Computer Science (EECS),203,5,Discrete Math,LEC,S R ,,T,,TH,,,,1/8/2020,4/21/2020,430-6PM,220 CHRYS,Wakefield,4
Winter 2020,Regular Academic Session,Engineering,16955,Electrical Engineering And Computer Science (EECS),203,11,Discrete Math,DIS,P RW,M,,,,,,,1/8/2020,4/21/2020,130-230PM,1303 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16956,Electrical Engineering And Computer Science (EECS),203,12,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,330-430PM,1303 EECS,,4
Winter 2020,Regular Academic Session,Engineering,16957,Electrical Engineering And Computer Science (EECS),203,13,Discrete Math,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,1030-1130AM,185 EWRE,,4
Winter 2020,Regular Academic Session,Engineering,16958,Electrical Engineering And Computer Science (EECS),203,14,Discrete Math,DIS,P RW,M,,,,,,,1/8/2020,4/21/2020,330-430PM,1005 DOW,,4
Winter 2020,Regular Academic Session,Engineering,16959,Electrical Engineering And Computer Science (EECS),203,15,Discrete Math,DIS,P RW,,,W,,,,,1/8/2020,4/21/2020,130-230PM,1303 EECS,,4
Winter 2020,Regular Academic Session,Engineering,20632,Electrical Engineering And Computer Science (EECS),203,16,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,1030-1130AM,1006 DOW,,4
Winter 2020,Regular Academic Session,Engineering,20633,Electrical Engineering And Computer Science (EECS),203,17,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,230-330PM,1006 DOW,,4
Winter 2020,Regular Academic Session,Engineering,20634,Electrical Engineering And Computer Science (EECS),203,18,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,130-230PM,1006 DOW,,4
Winter 2020,Regular Academic Session,Engineering,22509,Electrical Engineering And Computer Science (EECS),203,19,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,1130-1230PM,1690 BEYSTER,,4
Winter 2020,Regular Academic Session,Engineering,22510,Electrical Engineering And Computer Science (EECS),203,20,Discrete Math,DIS,P RW,,,,,F,,,1/8/2020,4/21/2020,1230-130PM,2166 DOW,,4
Winter 2020,Regular Academic Session,Engineering,22511,Electrical Engineering And Computer Science (EECS),203,21,Discrete Math,DIS,P RW,M,,,,,,,1/8/2020,4/21/2020,230-330PM,1005 DOW,,4
